Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
SLC28A3	CNT3	ENSG00000197506	Solute carrier family 28 member 3	9	84275457-84340683	Predicted membrane proteins, Transporters	Evidence at protein level	HPA023311, HPA024729	Approved	NA	NA	NA	Breast cancer:3.37e-4 (favourable)	Mixed	Tissue enhanced	NA	breast: 10.7;gallbladder: 11.7;skin: 9.8	bone marrow: 6.2	Cell line enriched	8	HMC-1: 51.9	Breast
SPINK14	SPINK5L2	ENSG00000196800	Serine peptidase inhibitor, Kazal type 14 (putative)	5	148169733-148175398	Predicted secreted proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	breast: 1.1;rectum: 1.2	cervix, uterine: 0.7	Not detected	NA	NA	Breast
ST8SIA6	SIAT8F	ENSG00000148488	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	10	17318383-17454330	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA011635, HPA072708	Uncertain	NA	Uncertain	Endoplasmic reticulum	NA	Tissue enhanced	Tissue enhanced	NA	breast: 13.4;lung: 18.1	epididymis: 9.1	Cell line enriched	8	HMC-1: 442.5	Breast
STC2	STC-2	ENSG00000113739	Stanniocalcin 2	5	173314713-173329503	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045372	Uncertain	NA	Approved	Endoplasmic reticulum	Renal cancer:4.17e-8 (unfavourable), Head and neck cancer:1.76e-6 (unfavourable), Liver cancer:3.07e-5 (unfavourable), Breast cancer:7.40e-5 (favourable), Stomach cancer:7.57e-4 (unfavourable)	Tissue enriched	Tissue enhanced	NA	breast: 164.6	placenta: 33.2	Cell line enhanced	NA	LHCN-M2: 707.5;T-47d: 753.9;U-138 MG: 321.3	Breast
TFAP2A	AP-2, AP2TF, TFAP2	ENSG00000137203	Transcription factor AP-2 alpha	6	10393186-10419659	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000326, HPA028850, HPA056871	Enhanced	NA	Enhanced	Nucleoplasm	Lung cancer:1.09e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	breast: 40.0;placenta: 42.3;skin: 76.1	epididymis: 24.9	Cell line enhanced	NA	HDLM-2: 103.3	Breast
TRPS1	GC79, LGCR	ENSG00000104447	Transcriptional repressor GATA binding 1	8	115408496-115809673	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060380, HPA071767	Enhanced	NA	Supported	Nucleoplasm	Pancreatic cancer:3.16e-4 (unfavourable), Head and neck cancer:9.42e-4 (favourable)	Tissue enriched	Tissue enhanced	NA	breast: 75.9	testis: 22.6	Cell line enhanced	NA	SK-BR-3: 58.4;T-47d: 230.2	Breast
VEGFD	FIGF, VEGF-D	ENSG00000165197	Vascular endothelial growth factor D	X	15345591-15384376	Cancer-related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA027342	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 25.0;lung: 59.3	adipose tissue: 13.2	Cell line enhanced	NA	ASC diff: 2.3;ASC TERT1: 2.0;HSkMC: 2.1	Breast
VTCN1	B7-H4, B7H4, B7S1, B7X, FLJ22418	ENSG00000134258	V-set domain containing T-cell activation inhibitor 1	1	117143587-117210960	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA054200	Approved	NA	Approved	Plasma membrane<br>Cell Junctions<br>Focal adhesion sites	NA	Group enriched	Tissue enhanced	NA	breast: 129.4;fallopian tube: 51.3	cervix, uterine: 22.0	Group enriched	8	BEWO: 43.1;SK-BR-3: 182.1	Breast
XDH	XO, XOR	ENSG00000158125	Xanthine dehydrogenase	2	31334321-31414715	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA062641, HPA069323	Supported	NA	Supported	Nucleus	Urothelial cancer:8.73e-6 (favourable)	Mixed	Tissue enhanced	NA	breast: 48.3;duodenum: 45.6;liver: 35.9;small intestine: 54.6	colon: 11.2	Cell line enhanced	NA	HBEC3-KT: 14.4;hTERT-HME1: 23.9	Breast
ZNF80	pT17	ENSG00000174255	Zinc finger protein 80	3	114234631-114237578	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA065484	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	breast: 6.4	lymph node: 2.7	Cell line enhanced	NA	MCF7: 1.2	Breast
INSL5	NA	ENSG00000172410	Insulin like 5	1	66797741-66801256	Predicted secreted proteins	Evidence at protein level	HPA030100, CAB033849	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	228	colon: 77.7;rectum: 141.9	cerebral cortex: 0.4	Not detected	NA	NA	Colon
AQP8	NA	ENSG00000103375	Aquaporin 8	16	25215731-25228940	Predicted membrane proteins, Transporters	Evidence at protein level	HPA046259	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	129	colon: 321.2;pancreas: 269.5;rectum: 166.5	smooth muscle: 1.9	Not detected	NA	NA	Colon
MEP1A	PPHA	ENSG00000112818	Meprin A subunit alpha	6	46793390-46839782	Enzymes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB025163, HPA029416	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	42	colon: 117.8;duodenum: 282.2;rectum: 114.3;small intestine: 538.5	appendix: 6.2	Cell line enhanced	NA	BEWO: 1.2;CACO-2: 2.4;RPMI-8226: 1.0	Colon
PRAC1	C17orf92, PRAC	ENSG00000159182	Prostate cancer susceptibility candidate 1	17	48721719-48722522	Predicted intracellular proteins	Evidence at transcript level	HPA047871	Approved	NA	NA	NA	NA	Tissue enriched	Group enriched	38	colon: 102.9;prostate: 171.7;rectum: 220.8	urinary bladder: 4.3	Cell line enriched	32	PC-3: 343.9	Colon
ISX	RAXLX	ENSG00000175329	Intestine specific homeobox	22	35066136-35087387	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060328	Approved	NA	Supported	Nucleoplasm<br>Nuclear bodies	NA	Tissue enhanced	Group enriched	36	colon: 27.4;duodenum: 37.5;rectum: 28.2;small intestine: 29.7	smooth muscle: 0.8	Group enriched	12	CACO-2: 1.3;Hep G2: 3.1	Colon
CA1	Car1	ENSG00000133742	Carbonic anhydrase 1	8	85327608-85379014	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006558, CAB025790	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	30	bone marrow: 1216.6;colon: 1022.8;rectum: 2316.0	smooth muscle: 49.9	Cell line enriched	1560	HEL: 1145.7	Colon
TBX10	TBX13, TBX7	ENSG00000167800	T-box 10	11	67631303-67639560	Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA047881	Uncertain	NA	NA	NA	NA	Group enriched	Group enriched	27	colon: 8.8;duodenum: 5.8;rectum: 8.6;small intestine: 10.6	appendix: 0.3	Cell line enhanced	NA	NTERA-2: 5.3;RPMI-8226: 2.5;SK-BR-3: 9.3;U-2 OS: 2.7	Colon
BTNL3	BTN9.1, BTNLR	ENSG00000168903	Butyrophilin like 3	5	180988845-181006727	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Group enriched	Group enriched	25	colon: 24.5;duodenum: 115.1;rectum: 26.3;small intestine: 89.1	gallbladder: 2.5	Not detected	NA	NA	Colon
MUC12	MUC11	ENSG00000205277	Mucin 12, cell surface associated	7	100969623-101018949	Predicted membrane proteins	Evidence at protein level	HPA023835	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	24	colon: 49.6;rectum: 74.4	appendix: 2.5	Not detected	NA	NA	Colon
TMIGD1	TMIGD, UNQ9372	ENSG00000182271	Transmembrane and immunoglobulin domain containing 1	17	30316333-30334059	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA021946	NA	NA	Approved	Mitochondria	NA	Tissue enhanced	Group enriched	23	colon: 81.8;rectum: 109.8;small intestine: 162.9	kidney: 5.1	Not detected	NA	NA	Colon
KRTAP13-2	KAP13-2	ENSG00000182816	Keratin associated protein 13-2	21	30371391-30372257	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Group enriched	20	colon: 1.9;rectum: 2.0	all non-specific tissues: 0.0	Not detected	NA	NA	Colon
MS4A12	FLJ20217, Ms4a10	ENSG00000071203	Membrane spanning 4-domains A12	11	60492778-60507430	Predicted membrane proteins	Evidence at protein level	HPA057657	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	19	colon: 235.5;rectum: 280.6	appendix: 13.2	Cell line enhanced	NA	RH-30: 1.1	Colon
NOX1	GP91-2, MOX1, NOH-1, NOH1	ENSG00000007952	NADPH oxidase 1	X	100843324-100874345	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	NA	NA	NA	NA	NA	Colorectal cancer:9.71e-4 (favourable)	Tissue enriched	Group enriched	17	colon: 58.7;rectum: 79.9	appendix: 3.9	Cell line enriched	19	CACO-2: 25.5	Colon
CD177	HNA2A, NB1, PRV1	ENSG00000204936	CD177 molecule	19	43353659-43363172	Predicted secreted proteins	Evidence at protein level	HPA041820, HPA046601	Enhanced	NA	NA	NA	Cervical cancer:3.66e-4 (favourable)	Tissue enhanced	Group enriched	16	bone marrow: 193.1;colon: 155.7;prostate: 105.4;rectum: 181.9	appendix: 9.7	Cell line enriched	23	RPMI-8226: 65.6	Colon
GUCA2A	GUCA2, STARA	ENSG00000197273	Guanylate cyclase activator 2A	1	42162691-42164718	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA018215	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	15	colon: 768.8;rectum: 859.2;small intestine: 1127.0	duodenum: 61.5	Cell line enhanced	NA	BEWO: 11.8;CACO-2: 8.2;NB-4: 2.0;U-2197: 2.5	Colon
PYY	PYY1	ENSG00000131096	Peptide YY	17	43952738-44004469	Predicted secreted proteins	Evidence at protein level	HPA010973, CAB016734	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	15	colon: 52.6;rectum: 39.2;small intestine: 27.4	duodenum: 2.5	Cell line enhanced	NA	HMC-1: 2.6	Colon
CHST5	FLJ22167, I-GLCNAC-6-ST	ENSG00000135702	Carbohydrate sulfotransferase 5	16	75528535-75535247	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA043804	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	14	colon: 45.6;duodenum: 85.9;rectum: 59.7;small intestine: 83.5	stomach: 4.8	Mixed	NA	NA	Colon
GUCY2C	GUC2C, STAR	ENSG00000070019	Guanylate cyclase 2C	12	14612632-14696585	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA037655, HPA073759	Uncertain	NA	Uncertain	Vesicles	Liver cancer:1.37e-5 (unfavourable)	Group enriched	Group enriched	13	colon: 37.0;duodenum: 68.7;rectum: 45.4;small intestine: 73.2	appendix: 4.4	Cell line enhanced	NA	AN3-CA: 1.2;CAPAN-2: 1.4;SiHa: 1.6	Colon
MYO1A	DFNA48, MYHL	ENSG00000166866	Myosin IA	12	57028517-57051198	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA053490	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	13	colon: 67.8;duodenum: 333.2;rectum: 71.8;small intestine: 338.4	stomach: 16.1	Cell line enhanced	NA	BEWO: 1.9;CACO-2: 6.6;Hep G2: 3.7	Colon
NAT2	AAC2	ENSG00000156006	N-acetyltransferase 2	8	18391245-18401218	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA043704	Uncertain	NA	NA	NA	Colorectal cancer:4.61e-5 (favourable)	Tissue enhanced	Group enriched	13	colon: 14.4;duodenum: 32.7;liver: 62.4;rectum: 14.0;small intestine: 27.1	smooth muscle: 2.3	Cell line enhanced	NA	RT4: 1.2;SCLC-21H: 2.5;SK-BR-3: 1.0	Colon
NXPE1	FAM55A, MGC34290	ENSG00000095110	Neurexophilin and PC-esterase domain family member 1	11	114521715-114559895	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA049133	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	13	colon: 111.8;rectum: 165.9	appendix: 10.5	Not detected	NA	NA	Colon
SDHD	cybS, PGL, PGL1	ENSG00000255292	Succinate dehydrogenase complex subunit D	11	112086824-112193805	Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA045727	Uncertain	NA	NA	NA	NA	Not detected	Tissue enriched	13	colon: 7.8	parathyroid gland: 0.5	Cell line enhanced	NA	A549: 23.8;CACO-2: 57.0;Hep G2: 19.6;hTEC/SVTERT24-B: 20.1;RT4: 30.5	Colon
LYPD8	NA	ENSG00000259823	LY6/PLAUR domain containing 8	1	248718649-248755739	Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enriched	Group enriched	12	colon: 216.6;rectum: 141.8	appendix: 14.4	Not detected	NA	NA	Colon
MOGAT2	DGAT2L5, FLJ22644, MGAT2	ENSG00000166391	Monoacylglycerol O-acyltransferase 2	11	75717819-75732958	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA028834	Uncertain	NA	NA	NA	NA	Tissue enhanced	Group enriched	12	colon: 12.5;duodenum: 37.2;liver: 12.1;rectum: 12.5;small intestine: 43.6	appendix: 1.9	Group enriched	6	Hep G2: 2.7;RPMI-8226: 1.8	Colon
SLC39A5	NA	ENSG00000139540	Solute carrier family 39 member 5	12	56230049-56237846	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA018423	NA	NA	Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:5.05e-4 (favourable)	Tissue enhanced	Group enriched	12	colon: 73.2;duodenum: 240.2;kidney: 115.0;liver: 86.0;pancreas: 53.1;rectum: 48.9;small intestine: 240.4	gallbladder: 10.0	Group enriched	62	CACO-2: 33.1;Hep G2: 39.7	Colon
AC011513.3	NA	ENSG00000267881	NA	19	41708612-41761282	Predicted secreted proteins	Evidence at transcript level	HPA011041	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	11	colon: 41.2;esophagus: 10.3	appendix: 2.4	Not detected	NA	NA	Colon
C10orf99	AP-57, CSBF, FLJ21763, RLLV1833, UNQ1833	ENSG00000188373	Chromosome 10 open reading frame 99	10	84173738-84185294	Predicted secreted proteins	Evidence at protein level	HPA050920	Enhanced	NA	NA	NA	Renal cancer:1.20e-5 (unfavourable)	Mixed	Group enriched	11	colon: 239.2;esophagus: 185.4;rectum: 264.2	urinary bladder: 20.8	Cell line enriched	6	RT4: 37.2	Colon
PIGY	MGC14156	ENSG00000255072	Phosphatidylinositol glycan anchor biosynthesis class Y	4	88521573-88521789	Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA059018	Uncertain	NA	NA	NA	NA	Not detected	Tissue enriched	11	colon: 1.0	all non-specific tissues: 0.0	Group enriched	10	AF22: 7.5;hTEC/SVTERT24-B: 10.7;MOLT-4: 13.8	Colon
CHP2	NA	ENSG00000166869	Calcineurin like EF-hand protein 2	16	23754627-23758951	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	CAB072806	Approved	NA	NA	NA	NA	Tissue enhanced	Group enriched	10	colon: 119.1;duodenum: 252.0;rectum: 127.6;skin: 143.8;small intestine: 227.3	cervix, uterine: 17.1	Cell line enhanced	NA	hTERT-HME1: 4.5;NB-4: 4.6	Colon
GLRA2	GLR	ENSG00000101958	Glycine receptor alpha 2	X	14529298-14731812	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB070422	Approved	NA	NA	NA	NA	Mixed	Group enriched	10	cerebral cortex: 6.1;colon: 1.4;rectum: 4.3	testis: 0.3	Cell line enriched	41	AN3-CA: 16.1	Colon
HHLA2	B7-H5, B7H7, B7y	ENSG00000114455	HERV-H LTR-associating 2	3	108296490-108378285	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA055478	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	10	colon: 87.7;duodenum: 87.1;gallbladder: 46.0;rectum: 90.5;small intestine: 143.9	stomach: 9.2	Cell line enhanced	NA	HDLM-2: 3.7;Karpas-707: 2.0	Colon
NR1I2	BXR, ONR1, PAR2, PXR, SXR	ENSG00000144852	Nuclear receptor subfamily 1 group I member 2	3	119780484-119818485	FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029309, HPA055121, HPA073926	NA	NA	Enhanced	Nucleoplasm	NA	Group enriched	Group enriched	10	colon: 10.3;duodenum: 27.2;gallbladder: 6.4;liver: 20.0;rectum: 10.7;small intestine: 30.0	stomach: 1.7	Group enriched	7	Hep G2: 9.8;RH-30: 3.3	Colon
ATOH1	bHLHa14, HATH1, MATH-1, Math1	ENSG00000172238	Atonal bHLH transcription factor 1	4	93828753-93830964	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level	NA	NA	NA	NA	NA	Colorectal cancer:3.26e-5 (favourable)	Tissue enhanced	Group enriched	9	colon: 17.6;duodenum: 11.1;rectum: 19.7;small intestine: 22.4	appendix: 1.9	Not detected	NA	NA	Colon
CDHR5	FLJ20219, MU-PCDH, MUCDHL, MUPCDH	ENSG00000099834	Cadherin related family member 5	11	616565-626078	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA009081, HPA009173, CAB025004	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	9	colon: 41.7;duodenum: 82.7;kidney: 23.6;liver: 21.0;rectum: 54.3;small intestine: 64.3	gallbladder: 5.3	Cell line enhanced	NA	CACO-2: 2.1	Colon
CDX1	NA	ENSG00000113722	Caudal type homeobox 1	5	150166795-150184558	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055196	Enhanced	NA	NA	NA	NA	Tissue enhanced	Group enriched	9	colon: 129.9;duodenum: 64.5;rectum: 134.7;small intestine: 104.9	appendix: 12.1	Cell line enhanced	NA	BJ hTERT+: 5.4;SH-SY5Y: 1.3	Colon
LRRC19	FLJ21302	ENSG00000184434	Leucine rich repeat containing 19	9	26993136-27005693	Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:7.08e-8 (favourable)	Group enriched	Group enriched	9	colon: 35.9;duodenum: 23.7;gallbladder: 9.4;kidney: 45.1;rectum: 35.3;small intestine: 34.7	appendix: 3.5	Not detected	NA	NA	Colon
NXPE4	C11orf33, FAM55D, FLJ20127	ENSG00000137634	Neurexophilin and PC-esterase domain family member 4	11	114570591-114595762	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA042801	Approved	NA	NA	NA	NA	Tissue enriched	Group enriched	9	colon: 139.6;rectum: 158.4;salivary gland: 38.2	appendix: 11.9	Not detected	NA	NA	Colon
REG4	GISP, REG-IV, RELP	ENSG00000134193	Regenerating family member 4	1	119794018-119811660	Predicted secreted proteins	Evidence at protein level	CAB025867, HPA046555	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	9	colon: 215.7;duodenum: 239.5;rectum: 299.4;small intestine: 664.5	appendix: 39.6	Group enriched	24	PC-3: 85.3;RT4: 20.5	Colon
TMEM236	bA162I21.2, bA16O1.2, FAM23A, FAM23B	ENSG00000148483	Transmembrane protein 236	10	17752252-17800868	Predicted membrane proteins	Evidence at protein level	HPA045096	Enhanced	NA	NA	NA	NA	Tissue enhanced	Group enriched	9	colon: 14.4;duodenum: 22.1;rectum: 15.5;small intestine: 37.7	appendix: 2.3	Cell line enriched	9	MOLT-4: 8.4	Colon
CDH17	cadherin, HPT-1	ENSG00000079112	Cadherin 17	8	94127171-94217303	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA023614, HPA023616, CAB025143, HPA026556	Enhanced	NA	Supported	Cell Junctions	NA	Group enriched	Group enriched	8	colon: 256.9;duodenum: 314.3;rectum: 267.3;small intestine: 294.3	appendix: 37.5	Group enriched	6	CACO-2: 81.5;U-266/70: 121.0	Colon
CLCA1	CaCC, CLCRG1	ENSG00000016490	Chloride channel accessory 1	1	86468368-86500289	Predicted secreted proteins, Transporters	Evidence at protein level	HPA052787, HPA059301	Enhanced	NA	NA	NA	Colorectal cancer:2.98e-4 (favourable)	Group enriched	Group enriched	8	colon: 699.6;duodenum: 882.2;rectum: 1126.3;small intestine: 1522.4	appendix: 133.7	Cell line enhanced	NA	BEWO: 1.9;NB-4: 1.5;RPMI-8226: 1.8;SH-SY5Y: 1.9;U-2197: 1.3	Colon
CLRN3	MGC32871, TMEM12, USH3AL1	ENSG00000180745	Clarin 3	10	127877841-127892947	Predicted membrane proteins, Transporters	Evidence at protein level	HPA014482	Approved	NA	NA	NA	Stomach cancer:8.98e-4 (favourable)	Group enriched	Group enriched	8	colon: 69.9;duodenum: 73.3;gallbladder: 23.6;kidney: 44.3;liver: 40.4;rectum: 76.3;small intestine: 97.5	appendix: 7.2	Cell line enriched	6	CACO-2: 1.9	Colon
DHRS11	MGC4172, SDR24C1	ENSG00000278535	Dehydrogenase/reductase 11	17	36591798-36600806	Predicted intracellular proteins	Evidence at protein level	HPA041226, HPA048236, HPA053623	Enhanced	NA	Approved	Golgi apparatus<br>Cytosol	Renal cancer:3.24e-4 (favourable)	Expressed in all	Group enriched	8	colon: 44.6;duodenum: 149.5;rectum: 47.1;small intestine: 133.6	testis: 11.8	Mixed	NA	NA	Colon
GAL3ST2	GP3ST	ENSG00000154252	Galactose-3-O-sulfotransferase 2	2	241776825-241804208	Predicted secreted proteins	Evidence at protein level	HPA071809	Enhanced	NA	NA	NA	NA	Group enriched	Group enriched	8	colon: 9.3;rectum: 4.0	appendix,fallopian tube: 0.8	Cell line enhanced	NA	Hep G2: 1.4	Colon
GPA33	A33	ENSG00000143167	Glycoprotein A33	1	167052836-167166479	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA018858, CAB025943	Enhanced	NA	NA	NA	NA	Tissue enriched	Group enriched	8	colon: 183.6;duodenum: 130.8;rectum: 188.7;small intestine: 131.3	appendix: 19.0	Cell line enhanced	NA	NTERA-2: 1.0	Colon
HOXD13	HOX4I, SPD	ENSG00000128714	Homeobox D13	2	176092891-176095938	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA064064	NA	NA	Supported	Nucleus	Colorectal cancer:6.95e-5 (unfavourable)	Mixed	Group enriched	8	cervix, uterine: 7.9;colon: 4.9;prostate: 16.9;rectum: 9.5;seminal vesicle: 24.5	urinary bladder: 1.5	Cell line enhanced	NA	HAP1: 20.6;HEK93: 52.3;HL-60: 52.4;NB-4: 24.7;SCLC-21H: 19.3	Colon
CEACAM7	CEA, CGM2	ENSG00000007306	Carcinoembryonic antigen related cell adhesion molecule 7	19	41673307-41706976	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA069621	Supported	NA	NA	NA	NA	Tissue enhanced	Group enriched	7	colon: 583.2;rectum: 691.9	appendix: 91.6	Not detected	NA	NA	Colon
